,ID,Is Library,Duplicated Count,Name Manual,Name Normalized - No Space,Name with Owner,Stars Count,Description,Keywords,URL,Homepage URL,Host Type,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Size,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,Dummy,SCM type,Pull requests enabled,Logo URL,Name,Owner,Name Normalized,Host Repo IDs
0,35948367,y,74,,machinelearning,dotnet/machinelearning,6578.0,ML.NET is an open source and cross-platform machine learning framework for .NET.,"algorithms,dotnet,machine-learning,ml",https://github.com/dotnet/machinelearning,https://dot.net/ml/,GitHub,False,2018-05-03 16:20:42 UTC,2019-11-19 06:19:30 UTC,2019-11-19 01:08:23 UTC,49955.0,C#,True,False,False,1394.0,,536.0,master,624.0,132021166,,MIT,19,README.md,,CONTRIBUTING.md,LICENSE,,,,,2018-05-11 19:31:20 UTC,8,GitHub,,git,,,machinelearning,dotnet,machinelearning,35948367
4,113510,y,74,,machinelearning,junku901/machine_learning,647.0,Machine learning library for Node.js,,https://github.com/junku901/machine_learning,http://joonku.com/project/machine_learning/,GitHub,False,2014-01-19 11:09:46 UTC,2018-04-02 16:11:45 UTC,2016-11-18 19:27:38 UTC,36.0,JavaScript,True,True,False,115.0,,11.0,master,44.0,16044422,,MIT,2,README.md,,,,,,,,2016-10-26 02:02:39 UTC,8,GitHub,,git,,,machine_learning,junku901,machine learning,113510
97,6995779,y,34,,deeplearning,rz1988/deeplearning,8.0,A deep neural network package for R,,https://github.com/rz1988/deeplearning,,GitHub,False,2016-03-15 03:57:40 UTC,2017-01-20 16:48:38 UTC,2016-04-11 18:30:30 UTC,141.0,R,True,True,False,9.0,,2.0,master,4.0,53913209,,,1,README.md,,,,,,,,2016-05-27 22:14:32 UTC,3,GitHub,,,,,deeplearning,rz1988,deeplearning,6995779
127,3332158,y,13,,neuralnetwork,trentsartain/Neural-Network,232.0,This is a configurable Neural Network written in C#.  The Network functionality is completely decoupled from the UI and can be ported to any project.  You can also export and import fully trained networks and datasets.,,https://github.com/trentsartain/Neural-Network,,GitHub,False,2015-07-18 17:38:46 UTC,2018-03-29 18:42:44 UTC,2017-08-29 05:01:12 UTC,129.0,C#,True,True,False,58.0,,1.0,master,37.0,39306932,,MIT,1,README.md,,,,,,,,2017-11-24 18:46:48 UTC,6,GitHub,,git,,,Neural-Network,trentsartain,neural network,3332158
139,2208,y,13,,ml,mljs/ml,1558.0,Machine learning tools in JavaScript,"javascript,machine-learning,ml",https://github.com/mljs/ml,,GitHub,False,2014-10-27 13:04:38 UTC,2019-12-20 13:03:25 UTC,2019-12-14 19:41:53 UTC,7048.0,JavaScript,True,True,False,159.0,,22.0,master,73.0,25819289,,MIT,12,README.md,History.md,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-06-30 13:19:26 UTC,10,GitHub,,git,,,ml,mljs,ml,2208
152,36603264,y,9,,datasets,tensorflow/datasets,1723.0,A collection of datasets ready to use with TensorFlow,"data,datasets,machine-learning,tensorflow",https://github.com/tensorflow/datasets,,GitHub,False,2018-09-10 21:27:22 UTC,2019-12-28 14:03:47 UTC,2019-12-28 19:11:56 UTC,153850.0,Python,True,False,False,430.0,,263.0,master,89.0,148221325,,Apache-2.0,85,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-12-15 09:07:36 UTC,10,GitHub,,git,,,datasets,tensorflow,datasets,36603264
168,21554793,y,7,,facerecognition,ageitgey/face_recognition,30898.0,The world's simplest facial recognition api for Python and the command line,"face-detection,face-recognition,machine-learning,python",https://github.com/ageitgey/face_recognition,,GitHub,False,2017-03-03 21:52:39 UTC,2019-12-31 11:26:15 UTC,2019-12-25 20:30:36 UTC,103859.0,Python,True,True,False,8505.0,,418.0,master,1454.0,83844720,,MIT,15,README.md,HISTORY.rst,CONTRIBUTING.rst,LICENSE,,,,,2018-08-21 18:44:40 UTC,10,GitHub,,git,,,face_recognition,ageitgey,face recognition,21554793
175,303115,y,6,,decisiontree,igrigorik/decisiontree,1002.0,ID3-based implementation of the ML Decision Tree algorithm,"decision-tree,machine-learning,ruby,rubyml",https://github.com/igrigorik/decisiontree,,GitHub,False,2009-02-23 04:52:20 UTC,2018-05-05 07:34:04 UTC,2018-04-06 18:56:48 UTC,56.0,Ruby,True,True,False,89.0,,7.0,master,38.0,135191,,MIT,11,README.md,,,,,,,,2017-04-17 11:58:27 UTC,9,GitHub,,git,,,decisiontree,igrigorik,decisiontree,303115
181,22826813,y,5,,neuralnet,Swift-AI/NeuralNet,128.0,An artificial neural network written in Swift,"deep-learning,machine-learning,neural-network,swift",https://github.com/Swift-AI/NeuralNet,,GitHub,False,2017-04-06 04:15:23 UTC,2018-01-14 16:03:11 UTC,2017-04-27 00:13:20 UTC,50.0,Swift,True,True,False,23.0,,1.0,master,14.0,87385527,,MIT,1,README.md,,,LICENSE,,,,,2017-04-06 12:05:55 UTC,5,GitHub,,git,,,NeuralNet,Swift-AI,neuralnet,22826813
186,31772349,y,5,,chatbot,zhaoyingjun/chatbot,1201.0,一个可以自己进行训练的中文聊天机器人， 根据自己的语料训练出自己想要的聊天机器人，可以用于智能客服、在线问答、智能聊天等场景。目前包含seq2seq、seqGAN版本和tf2.0版本。,"ai,chatbot,nlp-machine-learning,python,seq2seq-chatbot,seqgan-tensorflow,tensorflow2",https://github.com/zhaoyingjun/chatbot,,GitHub,False,2018-01-08 16:00:08 UTC,2019-12-19 07:00:09 UTC,2019-12-16 15:53:22 UTC,70220.0,Python,True,True,False,476.0,,14.0,master,72.0,116697549,,,1,README.md,,,,,,,,2018-01-20 11:43:20 UTC,3,GitHub,,git,,,chatbot,zhaoyingjun,chatbot,31772349
